iter	F1	Logloss
0	0.3094034378	0.5886139646
1	0.3155250377	0.5186308513
2	0.2799475754	0.472947587
3	0.3029687896	0.4532285508
4	0.3104753891	0.4402378965
5	0.3095823096	0.4314536576
6	0.3265544257	0.4224026185
7	0.324690532	0.4095903741
8	0.3264897346	0.4074176325
9	0.3300873908	0.4041913002
10	0.3298076122	0.4020423697
11	0.3291097032	0.3991609296
12	0.3421204859	0.3920840258
13	0.3453557312	0.3895242903
14	0.3449752883	0.3846724392
15	0.3652386781	0.3805940515
16	0.3662890211	0.3796781576
17	0.3666286459	0.3788323992
18	0.3672771673	0.3743832334
19	0.3709285367	0.3734043575
20	0.370586803	0.3729279106
21	0.3715004463	0.3714919957
22	0.3829889863	0.3651171811
23	0.3802612482	0.3642835837
24	0.3824758842	0.3638064592
25	0.3985997295	0.3584981641
26	0.4215909985	0.3544476622
27	0.423700917	0.3538949625
28	0.4291396927	0.3531580193
29	0.4278692362	0.3526807241
30	0.433095312	0.3464090791
31	0.4328358209	0.3456651747
32	0.4334990677	0.3451848226
33	0.4344122658	0.3442771388
34	0.4336283186	0.3437350788
35	0.4339256615	0.3434564077
36	0.4351801627	0.3431978062
37	0.4402817556	0.3423131702
38	0.4392400155	0.3420495729
39	0.4388996513	0.3405863897
40	0.4394889663	0.340355604
41	0.4419539341	0.3398807433
42	0.442968569	0.3395755214
43	0.4434340321	0.3390321911
44	0.4448212084	0.3386429389
45	0.445301651	0.3378352332
46	0.446361186	0.33735549
47	0.4471619751	0.3354502894
48	0.4491362764	0.3352259573
49	0.447410817	0.3350884645
50	0.4644189055	0.3312189119
51	0.4653916211	0.3307451354
52	0.4702493747	0.3283187212
53	0.4735767748	0.327833879
54	0.4716553288	0.3274785323
55	0.4729443773	0.3271202852
56	0.4729443773	0.3270701516
57	0.472215922	0.3268124259
58	0.4777485929	0.3232971307
59	0.4776926543	0.3229993316
60	0.4766691673	0.322644355
61	0.4771961357	0.3222885655
62	0.4767110978	0.3221092872
63	0.4792289301	0.3217152918
64	0.4800716525	0.3216634595
65	0.4780269058	0.3211163076
66	0.4866433514	0.3197029208
67	0.4878483835	0.3196216897
68	0.5027982327	0.3170281698
69	0.5045945747	0.3167649109
70	0.5199970966	0.3143068898
71	0.5221174764	0.3133823477
72	0.5209059233	0.3131763732
73	0.5360987513	0.3111966474
74	0.5361061312	0.3110017928
75	0.5362744396	0.3107980975
76	0.5387369326	0.3099551623
77	0.5406989209	0.3087261501
78	0.5413243803	0.307729115
79	0.5401073345	0.3067737357
80	0.540085592	0.3064900312
81	0.5414467114	0.3062701956
82	0.5428123664	0.3059729354
83	0.5443660466	0.305830621
84	0.544638404	0.3057263653
85	0.545648768	0.3055007131
86	0.5476647473	0.3053708084
87	0.5469283276	0.3051845753
88	0.5475479744	0.3051676043
89	0.5482406356	0.3049316231
90	0.5482038904	0.3047027755
91	0.5488609751	0.3045519409
92	0.5487441464	0.3045279929
93	0.5487441464	0.3045247825
94	0.5491669621	0.3043786043
95	0.5497838566	0.3043673546
96	0.5512802377	0.3041611016
97	0.5515875822	0.3039664389
98	0.5510897254	0.3038478358
99	0.5526259984	0.3037584481
100	0.5528547202	0.3035896973
101	0.5530832804	0.3035454566
102	0.5532335498	0.303444728
103	0.5536444382	0.3030524216
104	0.5535853055	0.3018498676
105	0.5533959997	0.3017085381
106	0.5537090729	0.3011868222
107	0.5536699194	0.3009882553
108	0.5541590171	0.3001195518
109	0.5538917926	0.2999191709
110	0.5538592027	0.2994313089
111	0.553898353	0.2994103878
112	0.5551948052	0.2992671152
113	0.5559159498	0.2991533755
114	0.556400507	0.299033931
115	0.5569014085	0.2988730323
116	0.5572846983	0.2987958558
117	0.5575894114	0.2987901077
118	0.5575202536	0.2987523112
119	0.5572454584	0.2985020508
120	0.5572454584	0.2984992829
121	0.5584534271	0.2983732851
122	0.5571579318	0.2982407947
123	0.5574231662	0.2981799233
124	0.5573839662	0.2981609412
125	0.5573839662	0.2981548655
126	0.5588544957	0.2980357912
127	0.5583257251	0.297906881
128	0.5593148954	0.2975907363
129	0.558061117	0.297462016
130	0.5590114442	0.2973678023
131	0.5593148954	0.2973424672
132	0.5599775785	0.29718915
133	0.5602802102	0.2971192256
134	0.5605550883	0.2969645277
135	0.5602523659	0.2968352798
136	0.5606612496	0.2966922508
137	0.561948761	0.2965913963
138	0.561948761	0.2965766561
139	0.5593934288	0.2964425347
140	0.5570795526	0.2955014373
141	0.5583456425	0.2948560094
142	0.5607476636	0.2942977481
143	0.5607476636	0.2942957258
144	0.5601012231	0.294175325
145	0.5639050354	0.29403239
146	0.5635637739	0.2939467408
147	0.5638260626	0.2938505716
148	0.5664174411	0.2936799086
149	0.5662591687	0.2935041607
150	0.5662196144	0.2935022708
151	0.5675619114	0.2934547199
152	0.5665200084	0.2933368901
153	0.5689402912	0.2928101676
154	0.568641115	0.2928083305
155	0.5681438127	0.2926826135
156	0.5682846995	0.2925514412
