iter	Passed	Remaining
0	14	5606
1	26	5182
2	38	5064
3	49	4915
4	61	4844
5	73	4819
6	84	4744
7	95	4682
8	106	4640
9	118	4604
10	129	4575
11	140	4541
12	152	4528
13	163	4500
14	174	4481
15	185	4463
16	196	4425
17	206	4387
18	223	4476
19	239	4558
20	256	4628
21	272	4678
22	285	4684
23	297	4659
24	308	4632
25	320	4609
26	336	4646
27	352	4677
28	367	4705
29	389	4798
30	405	4824
31	422	4863
32	452	5029
33	472	5081
34	486	5075
35	500	5064
36	513	5033
37	524	4996
38	535	4957
39	547	4924
40	558	4888
41	569	4853
42	580	4819
43	589	4772
44	601	4742
45	612	4713
46	624	4688
47	643	4716
48	660	4728
49	675	4730
50	688	4711
51	700	4686
52	711	4661
53	721	4620
54	731	4588
55	742	4563
56	754	4538
57	765	4515
58	777	4495
59	789	4471
60	799	4441
61	809	4415
62	821	4395
63	837	4398
64	853	4399
65	872	4417
66	888	4416
67	901	4402
68	913	4380
69	924	4359
70	936	4337
71	946	4310
72	957	4288
73	968	4267
74	982	4255
75	993	4235
76	1004	4215
77	1016	4197
78	1028	4180
79	1041	4167
80	1056	4160
81	1072	4159
82	1092	4174
83	1106	4161
84	1117	4142
85	1129	4122
86	1140	4104
87	1152	4085
88	1163	4064
89	1175	4049
90	1189	4039
91	1202	4025
92	1214	4010
93	1225	3990
94	1237	3972
95	1253	3968
96	1268	3960
97	1282	3952
98	1300	3954
99	1320	3960
100	1335	3952
101	1347	3937
102	1359	3919
103	1371	3903
104	1383	3886
105	1394	3868
106	1404	3846
107	1415	3827
108	1426	3809
109	1438	3791
110	1449	3775
111	1466	3771
112	1483	3766
113	1500	3764
114	1517	3761
115	1536	3762
116	1553	3756
117	1573	3761
118	1588	3750
119	1611	3759
120	1640	3782
121	1669	3803
122	1710	3852
123	1738	3869
124	1771	3897
125	1805	3926
126	1843	3963
127	1879	3993
128	1907	4007
129	1924	3997
130	1941	3987
131	1953	3966
132	1963	3941
133	1974	3919
134	1985	3897
135	1997	3876
136	2010	3859
137	2022	3839
138	2035	3822
139	2051	3810
140	2069	3801
141	2092	3801
142	2120	3810
143	2143	3810
144	2170	3817
145	2203	3833
146	2232	3842
147	2272	3868
148	2307	3886
149	2334	3891
150	2349	3873
151	2361	3853
152	2376	3836
153	2391	3819
154	2404	3800
155	2419	3784
156	2434	3767
157	2448	3749
158	2460	3729
159	2477	3716
160	2492	3699
161	2505	3680
162	2522	3668
163	2541	3656
164	2557	3642
165	2574	3629
166	2590	3613
167	2605	3598
168	2618	3579
169	2631	3560
170	2645	3542
171	2657	3523
172	2672	3506
173	2691	3495
174	2713	3489
175	2729	3473
176	2741	3454
177	2757	3439
178	2780	3432
179	2794	3415
180	2809	3398
181	2826	3385
182	2846	3375
183	2863	3361
184	2879	3346
185	2891	3326
186	2902	3306
187	2914	3286
188	2925	3266
189	2942	3252
190	2958	3237
191	2976	3224
192	2988	3205
193	3000	3185
194	3012	3166
195	3023	3146
196	3034	3127
197	3048	3110
198	3061	3091
199	3074	3074
200	3088	3057
201	3100	3038
202	3112	3020
203	3123	3001
204	3134	2982
205	3149	2966
206	3165	2951
207	3181	2936
208	3194	2919
209	3206	2900
210	3217	2882
211	3228	2863
212	3243	2847
213	3258	2831
214	3272	2816
215	3288	2801
216	3301	2784
217	3313	2766
218	3327	2750
219	3340	2733
220	3355	2717
221	3371	2703
222	3388	2689
223	3401	2672
224	3412	2654
225	3423	2635
226	3437	2619
227	3449	2601
228	3461	2584
229	3472	2566
230	3484	2549
231	3505	2538
232	3519	2522
233	3531	2505
234	3543	2487
235	3555	2470
236	3573	2457
237	3590	2444
238	3612	2433
239	3638	2425
240	3668	2420
241	3703	2417
242	3749	2422
243	3779	2416
244	3818	2415
245	3850	2410
246	3896	2413
247	3928	2408
248	3964	2404
249	4003	2402
250	4037	2396
251	4062	2385
252	4086	2374
253	4115	2365
254	4137	2352
255	4160	2340
256	4189	2331
